"id","request.custom_id","success","result.product.title","result.product.book_description"
"D3F3A62B01B94E8E9285869B81AA67B3",,true,,
"5F6355C5CF06488E90E16DDB071BB7E8",,true,,
"BE96C83C602745EBBFD940C5D64CA71F",,true,"Broken","A fatal car accident leaves one young man dead…and another suffering.. Officer Steve Pax learns the family of the deceased refuses to give information to the man waiting for word on their son’s condition—shut out because they are unwilling to accept Mario was gay.. Finn won’t leave the hospital until he knows if Mario will survive. Steve is torn between duty and his personal feelings. But Finn deserves to know his friend and former lover is dead.. Steve discovers there is more to Finn than a hot rocker exterior. He carries guilt over Mario’s substance abuse and his role in Mario’s death. Steve wants to help. But he’s crushing on the kid and is considering acting on his sexual attraction. Moreover, he's the last person who should be offering comfort. Can Steve show Finn he wasn’t responsible or will he leave Finn broken?"
"C4AAD33454B1426AAF3F2F2E1B61B3BA",,true,"For Sale in Palm Springs (Henry Wright Mystery Book 1)","Retired police chief Henry Wright is now living in Palm Springs and is asked by his friend Wayne Johnson, a detective in the Palm Springs Police department to help solve a crime. Henry has been living as somewhat of a recluse since his wife passed away, but tracking down this killer brings him back to life. Follow his adventures as he travels around the state to solve this mystery.. Fourth edition released February 2013 adds a TOC at the request of readers"
"E90C94D3FE9A4702B9120D6F61B0E10F",,true,,
"DDC94325FE9D42BE954F11B5889A2A73",,true,"Time Crimes: The Paratime Collection (Five Paratime Novels in One Volume)","NOTE: This edition has a linked ""Table of Contents"" and has been beautifully formatted (searchable and interlinked) to work on your Amazon e-book reader, Amazon Desktop Reader, and your ipod e-book reader.. These are the classic H. Beam Piper stories of the Paratime Police, a law enforcement organization which has learned how to move between parallel universes with alternate histories. They must also protect the secret of paratime travel.. In the Paratime universe, there are an infinite number of timelines, but in each timeline, events occurred differently. They are grouped into five Levels, based on the probabilities of success of an attempt by Martians to colonize Earth 75,000 to 100,000 years ago. They use this time-traveling ability to trade for goods and services which their own, exhausted Earth cannot provide. . In this volume:. Book One: Genesis. Book Two: Police Operation. Book Three: Last Enemy. Book Four: Temple Trouble. Book Five: Time Crime. A must-read for classic sci-fi and pulp-fiction fans!"
"15A144DC663E4813A1102DC20931BB61",,true,"The Unmasking of Lady Loveless","All of London is buzzing about The Adventures of a Woman of Pleasure by Lady Loveless, a book of barely disguised accounts of the ton's sexual escapades. Reputations have been ruined and society is scandalized, but no one is more shocked than Lord Alexander Beaumont when he learns that the mysterious Lady Loveless is none other than his estranged wife! He remembers Melicent as a shy, innocent young woman and is determined to find out where she's been getting her information...and who has turned his inexperienced bride into a brazen author of erotic literature. There's only one solution: Alex will seduce his errant wife and learn all her wanton secrets..."
"69CBB3AE065E48A697720A5038A14539",,true,,
"FF78B19CA8444BCBBB813B859A9CD128",,true,"Boomerang (Ted and Jerry)","Ted Hogwood's beloved Sarah, a jazz guitar, is in the window of Topp Dollar Pawn. The only way he can get the money to rescue her is to accept an assignment from the AABC, a not nearly official branch of the United States intelligence community. He is partnered with Jerry Kwiatkowski, master of the Hammond B-3 organ and chronic flatulence sufferer, to steal a boomerang containing secrets that should have died with J. Edgar Hoover over thirty years ago. It would be a simple job if only they knew what they were doing. And if a crossbow wielding assassin, two unemployed Australian women, The Director of Central Intelligence and a clothing optional former onion festival queen were not also hot on the boomerang's trail.."
"A01BF965F24947D899E3651C97DFAE51",,true,"Head Over Heels: A Cinderella Story","Sometimes you have to make your own happily ever after.Working at the Glass Slipper is anything but a fairytale for Cyn Elder. After one especially long day, all she wants is to kick off her shoes and put her feet up, but she reluctantly lets her friends drag her out to a new club. Movie mogul and fledgling club owner Parker Maguire is bored with the Hollywood scene and its plastic women, and the club scene isn’t proving to be much better. Until he finds a sassy woman refusing to back down from his overzealous bouncer. Cyn is a breath of fresh air, neither impressed by celebrity status nor bowled over by his charisma and wealth. She’s honest, genuine—and arousing in more ways than he could have ever imagined. For once, Cyn puts herself before her shop and lets herself be swept off her feet by a man who pursues her with a delightful vengeance. Her father’s evil girlfriend and her two lazy daughters, however, see Cyn’s new happiness as nothing more than a threat to their own comfortable lives. Their plot to break the two lovers up could turn Parker and Cyn’s “once upon a time” into a “happily never after.” Unless Cyn’s Fairy Drag Queen can pull something out of her pink-chiffon sleeve…"
